trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,0,78,0,158.19972509983927,,158.16002180008218,5,158.19972509983927,158.19972509983927,0.014466300141066313,159.8543123002164,[0.16833333333333333],[-0.06333333333333334],[1],[0],[0],[1.6802572002634406],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
79,0,79,0,159.8826619000174,,159.85698720021173,5,159.8826619000174,159.8826619000174,0.012900699861347675,161.4381865002215,[0.48],[-0.028333333333333332],[1],[0],[0],[1.568550799973309],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
80,0,80,0,161.49845740012825,,161.44084439985454,10,161.49845740012825,161.49845740012825,0.03142789984121919,163.0852375002578,[0.15166666666666667],[0.056666666666666664],[1],[0],[0],[1.6131192003376782],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
81,0,81,0,163.13089059991762,,163.08788429992273,10,163.13089059991762,163.13089059991762,0.026125499978661537,164.88563829986379,[0.0033333333333333335],[-0.08],[1],[0],[0],[1.7718627001158893],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
82,0,82,0,164.94575869990513,,164.88923570001498,10,164.94575869990513,164.94575869990513,0.03185589984059334,166.96657129982486,[-0.145],[-0.26],[1],[0],[0],[2.0462539000436664],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
83,0,83,0,167.02811100007966,,166.97057860018685,10,167.02811100007966,167.02811100007966,0.03001350024715066,169.06674889987335,[0.41333333333333333],[0.09666666666666666],[1],[0],[0],[2.0664122998714447],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
84,0,84,0,169.110947499983,,169.06956540001556,10,169.110947499983,169.110947499983,0.025189199950546026,170.8650417998433,[0.31333333333333335],[0.38666666666666666],[1],[0],[0],[1.7704618000425398],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
85,0,85,0,170.90981240011752,,170.8677147999406,5,170.90981240011752,170.90981240011752,0.016001599840819836,172.9133446002379,[0.20333333333333334],[0.175],[1],[0],[0],[2.0298327999189496],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
86,0,86,0,172.95891029993072,,172.91601110016927,5,172.95891029993072,172.95891029993072,0.015676700044423342,175.614717700053,[0.385],[-0.21],[1],[0],[0],[2.683276900090277],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
87,0,87,0,175.6576868002303,,175.6186585999094,5,175.6576868002303,175.6576868002303,0.014291999861598015,179.49455290008336,[-0.33],[0.17833333333333334],[1],[0],[0],[3.8622154002077878],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
88,0,88,0,179.52195589989424,,179.49758620001376,5,179.52195589989424,179.52195589989424,0.014704899862408638,181.96054330002517,[0.15333333333333332],[0.2633333333333333],[1],[0],[0],[2.4486759998835623],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
89,0,89,0,182.00394580001011,,181.96395209990442,5,182.00394580001011,182.00394580001011,0.0165328998118639,184.94281599996611,[0.435],[-0.255],[1],[0],[0],[2.9625499001704156],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
90,0,90,0,184.98617319995537,,184.94617839995772,5,184.98617319995537,184.98617319995537,0.016856300178915262,186.89038009988144,[-0.38],[-0.17166666666666666],[1],[0],[0],[1.9276312999427319],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
91,0,91,0,186.9182694000192,,186.8930071000941,5,186.9182694000192,186.9182694000192,0.013091300148516893,188.30668140016496,[-0.15833333333333333],[-0.325],[1],[0],[0],[1.400821799878031],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
92,0,92,0,188.351070899982,,188.30950429989025,5,188.351070899982,188.351070899982,0.016370299737900496,190.75625040009618,[0.4166666666666667],[-0.17333333333333334],[1],[0],[0],[2.4305512998253107],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
93,0,93,0,190.81645649997517,,190.75899600004777,10,190.81645649997517,190.81645649997517,0.027997999917715788,192.26973049994558,[0.165],[-0.30333333333333334],[1],[0],[0],[1.4829898998141289],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
94,0,94,0,192.29851080011576,,192.27237350028008,5,192.29851080011576,192.29851080011576,0.0166615997441113,195.08622279996052,[-0.41333333333333333],[0.37666666666666665],[1],[0],[0],[2.7973895999602973],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
95,0,95,0,195.1137161999941,,195.08890239987522,5,195.1137161999941,195.1137161999941,0.013153600040823221,197.43664610013366,[0.47333333333333333],[-0.10333333333333333],[1],[0],[0],[2.334845299832523],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
96,0,96,0,197.49465360026807,,197.4400423001498,10,197.49465360026807,197.49465360026807,0.0333250998519361,200.1323668002151,[0.14166666666666666],[0.15],[1],[0],[0],[2.6594799999147654],['target'],140787,001,2024-10-10_18h53.20.830,visualsearch,2024.1.5,None,2024-10-10 18h53.28.115630 +0530,
